Tile_ID,Long2,Lat2,Long1,Lat1,Mid_lat,Mid_long
36,-122.514446,37.77963582,-122.5133059,37.77873221,37.779184,-122.513876
37,-122.514446,37.77873221,-122.5133059,37.77782861,37.77828,-122.513876
151,-122.5133059,37.77963582,-122.5121658,37.77873221,37.779184,-122.512736
152,-122.5133059,37.77873221,-122.5121658,37.77782861,37.77828,-122.512736
153,-122.5133059,37.77782861,-122.5121658,37.776925,37.777377,-122.512736
261,-122.5121658,37.78415384,-122.5110257,37.78325024,37.783702,-122.511596
262,-122.5121658,37.78325024,-122.5110257,37.78234663,37.782798,-122.511596
263,-122.5121658,37.78234663,-122.5110257,37.78144303,37.781895,-122.511596
264,-122.5121658,37.78144303,-122.5110257,37.78053942,37.780991,-122.511596
265,-122.5121658,37.78053942,-122.5110257,37.77963582,37.780088,-122.511596
266,-122.5121658,37.77963582,-122.5110257,37.77873221,37.779184,-122.511596
268,-122.5121658,37.77782861,-122.5110257,37.776925,37.777377,-122.511596
269,-122.5121658,37.776925,-122.5110257,37.77602139,37.776473,-122.511596
270,-122.5121658,37.77602139,-122.5110257,37.77511779,37.77557,-122.511596
271,-122.5121658,37.77511779,-122.5110257,37.77421418,37.774666,-122.511596
272,-122.5121658,37.77421418,-122.5110257,37.77331058,37.773762,-122.511596
273,-122.5121658,37.77331058,-122.5110257,37.77240697,37.772859,-122.511596
274,-122.5121658,37.77240697,-122.5110257,37.77150337,37.771955,-122.511596
275,-122.5121658,37.77150337,-122.5110257,37.77059976,37.771052,-122.511596
276,-122.5121658,37.77059976,-122.5110257,37.76969616,37.770148,-122.511596
376,-122.5110257,37.78415384,-122.5098855,37.78325024,37.783702,-122.510456
378,-122.5110257,37.78234663,-122.5098855,37.78144303,37.781895,-122.510456
379,-122.5110257,37.78144303,-122.5098855,37.78053942,37.780991,-122.510456
380,-122.5110257,37.78053942,-122.5098855,37.77963582,37.780088,-122.510456
381,-122.5110257,37.77963582,-122.5098855,37.77873221,37.779184,-122.510456
385,-122.5110257,37.77602139,-122.5098855,37.77511779,37.77557,-122.510456
386,-122.5110257,37.77511779,-122.5098855,37.77421418,37.774666,-122.510456
387,-122.5110257,37.77421418,-122.5098855,37.77331058,37.773762,-122.510456
388,-122.5110257,37.77331058,-122.5098855,37.77240697,37.772859,-122.510456
389,-122.5110257,37.77240697,-122.5098855,37.77150337,37.771955,-122.510456
390,-122.5110257,37.77150337,-122.5098855,37.77059976,37.771052,-122.510456
391,-122.5110257,37.77059976,-122.5098855,37.76969616,37.770148,-122.510456
392,-122.5110257,37.76969616,-122.5098855,37.76879255,37.769244,-122.510456
393,-122.5110257,37.76879255,-122.5098855,37.76788895,37.768341,-122.510456
394,-122.5110257,37.76788895,-122.5098855,37.76698534,37.767437,-122.510456
395,-122.5110257,37.76698534,-122.5098855,37.76608174,37.766534,-122.510456
396,-122.5110257,37.76608174,-122.5098855,37.76517813,37.76563,-122.510456
397,-122.5110257,37.76517813,-122.5098855,37.76427453,37.764726,-122.510456
398,-122.5110257,37.76427453,-122.5098855,37.76337092,37.763823,-122.510456
399,-122.5110257,37.76337092,-122.5098855,37.76246732,37.762919,-122.510456
400,-122.5110257,37.76246732,-122.5098855,37.76156371,37.762016,-122.510456
401,-122.5110257,37.76156371,-122.5098855,37.76066011,37.761112,-122.510456
402,-122.5110257,37.76066011,-122.5098855,37.7597565,37.760208,-122.510456
490,-122.5098855,37.78505745,-122.5087454,37.78415384,37.784606,-122.509315
491,-122.5098855,37.78415384,-122.5087454,37.78325024,37.783702,-122.509315
492,-122.5098855,37.78325024,-122.5087454,37.78234663,37.782798,-122.509315
493,-122.5098855,37.78234663,-122.5087454,37.78144303,37.781895,-122.509315
494,-122.5098855,37.78144303,-122.5087454,37.78053942,37.780991,-122.509315
495,-122.5098855,37.78053942,-122.5087454,37.77963582,37.780088,-122.509315
496,-122.5098855,37.77963582,-122.5087454,37.77873221,37.779184,-122.509315
497,-122.5098855,37.77873221,-122.5087454,37.77782861,37.77828,-122.509315
498,-122.5098855,37.77782861,-122.5087454,37.776925,37.777377,-122.509315
499,-122.5098855,37.776925,-122.5087454,37.77602139,37.776473,-122.509315
500,-122.5098855,37.77602139,-122.5087454,37.77511779,37.77557,-122.509315
501,-122.5098855,37.77511779,-122.5087454,37.77421418,37.774666,-122.509315
502,-122.5098855,37.77421418,-122.5087454,37.77331058,37.773762,-122.509315
503,-122.5098855,37.77331058,-122.5087454,37.77240697,37.772859,-122.509315
504,-122.5098855,37.77240697,-122.5087454,37.77150337,37.771955,-122.509315
505,-122.5098855,37.77150337,-122.5087454,37.77059976,37.771052,-122.509315
506,-122.5098855,37.77059976,-122.5087454,37.76969616,37.770148,-122.509315
507,-122.5098855,37.76969616,-122.5087454,37.76879255,37.769244,-122.509315
512,-122.5098855,37.76517813,-122.5087454,37.76427453,37.764726,-122.509315
513,-122.5098855,37.76427453,-122.5087454,37.76337092,37.763823,-122.509315
514,-122.5098855,37.76337092,-122.5087454,37.76246732,37.762919,-122.509315
515,-122.5098855,37.76246732,-122.5087454,37.76156371,37.762016,-122.509315
516,-122.5098855,37.76156371,-122.5087454,37.76066011,37.761112,-122.509315
517,-122.5098855,37.76066011,-122.5087454,37.7597565,37.760208,-122.509315
518,-122.5098855,37.7597565,-122.5087454,37.75885289,37.759305,-122.509315
519,-122.5098855,37.75885289,-122.5087454,37.75794929,37.758401,-122.509315
520,-122.5098855,37.75794929,-122.5087454,37.75704568,37.757497,-122.509315
521,-122.5098855,37.75704568,-122.5087454,37.75614208,37.756594,-122.509315
522,-122.5098855,37.75614208,-122.5087454,37.75523847,37.75569,-122.509315
523,-122.5098855,37.75523847,-122.5087454,37.75433487,37.754787,-122.509315
524,-122.5098855,37.75433487,-122.5087454,37.75343126,37.753883,-122.509315
525,-122.5098855,37.75343126,-122.5087454,37.75252766,37.752979,-122.509315
526,-122.5098855,37.75252766,-122.5087454,37.75162405,37.752076,-122.509315
527,-122.5098855,37.75162405,-122.5087454,37.75072045,37.751172,-122.509315
530,-122.5098855,37.74891324,-122.5087454,37.74800963,37.748461,-122.509315
605,-122.5087454,37.78505745,-122.5076053,37.78415384,37.784606,-122.508175
607,-122.5087454,37.78325024,-122.5076053,37.78234663,37.782798,-122.508175
608,-122.5087454,37.78234663,-122.5076053,37.78144303,37.781895,-122.508175
609,-122.5087454,37.78144303,-122.5076053,37.78053942,37.780991,-122.508175
610,-122.5087454,37.78053942,-122.5076053,37.77963582,37.780088,-122.508175
611,-122.5087454,37.77963582,-122.5076053,37.77873221,37.779184,-122.508175
612,-122.5087454,37.77873221,-122.5076053,37.77782861,37.77828,-122.508175
613,-122.5087454,37.77782861,-122.5076053,37.776925,37.777377,-122.508175
614,-122.5087454,37.776925,-122.5076053,37.77602139,37.776473,-122.508175
615,-122.5087454,37.77602139,-122.5076053,37.77511779,37.77557,-122.508175
616,-122.5087454,37.77511779,-122.5076053,37.77421418,37.774666,-122.508175
617,-122.5087454,37.77421418,-122.5076053,37.77331058,37.773762,-122.508175
618,-122.5087454,37.77331058,-122.5076053,37.77240697,37.772859,-122.508175
619,-122.5087454,37.77240697,-122.5076053,37.77150337,37.771955,-122.508175
620,-122.5087454,37.77150337,-122.5076053,37.77059976,37.771052,-122.508175
621,-122.5087454,37.77059976,-122.5076053,37.76969616,37.770148,-122.508175
622,-122.5087454,37.76969616,-122.5076053,37.76879255,37.769244,-122.508175
623,-122.5087454,37.76879255,-122.5076053,37.76788895,37.768341,-122.508175
626,-122.5087454,37.76608174,-122.5076053,37.76517813,37.76563,-122.508175
627,-122.5087454,37.76517813,-122.5076053,37.76427453,37.764726,-122.508175
628,-122.5087454,37.76427453,-122.5076053,37.76337092,37.763823,-122.508175
629,-122.5087454,37.76337092,-122.5076053,37.76246732,37.762919,-122.508175
630,-122.5087454,37.76246732,-122.5076053,37.76156371,37.762016,-122.508175
631,-122.5087454,37.76156371,-122.5076053,37.76066011,37.761112,-122.508175
632,-122.5087454,37.76066011,-122.5076053,37.7597565,37.760208,-122.508175
633,-122.5087454,37.7597565,-122.5076053,37.75885289,37.759305,-122.508175
634,-122.5087454,37.75885289,-122.5076053,37.75794929,37.758401,-122.508175
